"search.str";"lat";"lon"
"Alchornea triplinervia";-20,761343;-42,868031
"Nectandra oppositifolia";-19,5061;-39,8875
"Paratecoma peroba";-19,3949002236543;-40,071853011446
"Qualea multiflora";-19,3949002236543;-40,071853011446
"Cassia ferruginea";-19,0409924221712;-43,4248788829597
"Chamaecrista dentata";-20,2916151948885;-43,5082859302814
"Neoraputia alba";-19,4169007116929;-40,5416847206305
"Diatenopteryx grazielae";-20,3049163210635;-42,4776160348919
"Myrcia amplexicaulis";-19,67;-41,83
"Sorocea guilleminiana";-19,67;-41,83
"Hirtella bahiensis";-19,3949002236543;-40,071853011446
"Matayba marginata";-20,37495;-43,418056
"Paradrypetes ilicifolia";-19,67;-41,83
"Handroanthus cristatus";-19,3949002236543;-40,071853011446
"Miconia sellowiana";-20,44483;-43,52636
"Trichilia pseudostipularis";-19,33;-40,05
"Protium warmingianum";-19,34825;-40,551
"Lafoensia vandelliana";-20,761343;-42,868031
"Inga flagelliformis";-19,77;-42,6
"Miconia ibaguensis";-20,761343;-42,868031
"Hololepis pedunculata";-20,1311;-43,4681
"Melicoccus espiritosantensis";-19,4;-40,07
"Myrcia ilheosensis";-19,22;-39,97
"Grazielodendron rio-docensis";-19,23;-40,05
"Miconia corallina";-20,1;-43,47
"Inga ingoides";-19,44;-40,64
"Dalbergia glaucescens";-19,7;-42,62
"Deguelia hatschbachii";-19,83;-41,83
"Solanum sooretamum";-19,15;-40,38
"Myrcia rufipes";-19,02;-43,42
"Vataireopsis araroba";-19,23;-40,05
"Machaerium caratinganum";-19,83;-41,83
"Centrolobium microchaete";-19,83;-41,83
"Machaerium ruddianum";-19,83;-41,83
"Lychnophora pinaster";-20,07;-43,4
"Senna macranthera";-20,72;-42,48
"Vatairea macrocarpa";-19,23;-40,05
"Poecilanthe falcata";-19,23;-40,05
"Myrcia vellozoi";-19,92;-40,6
"Myrcia variabilis";-19,17;-43,42
"Inga thibaudiana";-19,83;-41,83
"Myrcia lutescens";-20,449722;-43,405556
"Eugenia ligustrina";-20,421944;-43,394722
"Eugenia florida";-20,473056;-43,490833
"Siphoneugena dussii";-20,436111;-43,506389
"Myrcia vauthiereana";-20,434722;-43,51
