"search.str";"lat";"lon"
"Leandra variabilis";-19,836389;-40,553889
"Lacmellea pauciflora";-19,890833;-40,918889
"Clusia mexiae";-19,796944;-40,775278
"Cupania rigida";-19,805556;-40,681389
"Myrceugenia scutellata";-19,836389;-40,553889
"Ficus laureola";-19,191472;-40,774889
"Ouratea parviflora";-19,931111;-40,683333
"Unonopsis sanctae-teresae";-19,931111;-40,683333
"Miconia atlantica";-19,931111;-40,683333
"Tovomita riedeliana";-19,931111;-40,683333
"Eugenia prasina";-19,931111;-40,683333
"Posoqueria acutifolia";-19,836389;-40,553889
"Dalbergia elegans";-19,888889;-40,824722
"Pleroma arboreum";-19,836389;-40,553889
"Pseudopiptadenia schumanniana";-19,931111;-40,683333
"Eugenia xiriricana";-19,931111;-40,683333
"Heteropterys byrsonimifolia";-19,888889;-40,824722
"Aiouea saligna";-19,909167;-40,591667
"Mollinedia schottiana";-20,876111;-42,525
"Cordia toqueve";-19,780556;-40,604167
"Tontelea corcovadensis";-19,909167;-40,591667
"Aspidosperma illustre";-19,888889;-40,824722
"Ocotea glaziovii";-19,909167;-40,591667
"Enterolobium glaziovii";-19,780556;-40,604167
"Vitex schaueriana";-19,805556;-40,681389
"Guapira graciliflora";-19,915556;-40,65
"Guapira hirsuta";-19,915556;-40,65
"Faramea stipulacea";-19,8025;-40,6775
"Myrcia crassa";-19,931111;-40,683333
"Psidium oligospermum";-19,847222;-40,548333
"Eugenia brasiliensis";-19,931111;-40,683333
"Ximenia coriacea";-19,851944;-40,808611
"Marcgraviastrum cuneifolium";-19,796944;-40,775278
"Mollinedia argyrogyna";-19,932222;-40,686944
"Platycyamus regnellii";-19,8375;-40,6325
"Agarista oleifolia";-19,900278;-40,6725
"Jacaranda puberula";-19,836944;-40,573056
"Campomanesia macrobracteolata";-18,983056;-40,740278
"Qualea cryptantha";-18,944167;-40,798611
"Kerianthera longiflora";-19,310833;-40,525278
"Senegalia giganticarpa";-19,814167;-40,678056
"Eugenia batingabranca";-18,890278;-40,825833
"Bathysa mendoncaei";-19,932222;-40,686944
"Eugenia monosperma";-19,348056;-40,558611
"Pleroma fragae";-19,348056;-40,558611
"Verbesina floribunda";-19,887222;-40,575556
"Ficus enormis";-19,931111;-40,683611
"Aegiphila obducta";-19,247222;-40,455278
"Inga exfoliata";-19,247222;-40,455278
"Meliosma chartacea";-19,247222;-40,455278
"Myrcia bergiana";-19,796944;-40,775278
"Banara brasiliensis";-19,890833;-40,918889
"Vochysia magnifica";-19,897778;-40,814722
"Eriotheca macrophylla";-19,906111;-40,601944
"Mollinedia gilgiana";-19,931111;-40,683611
"Phyllanthus cladotrichus";-19,931111;-40,683611
"Aiouea glaziovii";-19,931111;-40,683611
"Myrcia grandifolia";-19,847222;-40,548333
"Myrcia racemosa";-19,847222;-40,548333
"Aniba firmula";-19,931111;-40,683611
"Guarea gracilis";-19,931111;-40,683611
"Miconia cubatanensis";-19,8038;-40,7686
"Rudgea coronata";-19,861111;-40,615
"Ocotea silvestris";-19,847222;-40,548333
"Ocotea spixiana";-19,931111;-40,683611
"Myrcia tenuivenosa";-19,891389;-40,818889
"Eugenia fusca";-19,931111;-40,683611
"Myrcia verrucosa";-19,931111;-40,683611
"Myrcia vittoriana";-19,847222;-40,548333
"Myrcia santateresana";-19,847222;-40,548333
"Eugenia subundulata";-19,931111;-40,683611
"Annona xylopiifolia";-19,741389;-40,981111
"Casearia lasiophylla";-19,335556;-40,535556
"Inga unica";-18,985806;-40,662222
"Eugenia adenantha";-18,985806;-40,662222
"Picramnia ciliata";-19,909167;-40,591667
"Erythroxylum pulchrum";-18,871389;-40,812778
"Byrsonima cacaophila";-19,3325;-40,534722
"Casearia selloana";-19,351944;-40,514167
"Myrcia riodocensis";-19,348056;-40,558611
"Monteverdia ardisiifolia";-19,931111;-40,683333
"Campomanesia espiritosantensis";-18,985;-40,6625
"Couepia venosa";-18,952778;-40,801667
"Guapira venosa";-19,906111;-40,601944
"Conchocarpus diadematus";-19,805556;-40,681389
"Cupania crassifolia";-19,125167;-40,611417
"Eugenia sulcata";-19,023056;-40,647778
"Myrcia sucrei";-19,339167;-40,558611
"Eugenia sobraliana";-19,339167;-40,558611
"Casearia commersoniana";-19,794722;-40,701389
"Cupania emarginata";-19,339167;-40,558611
"Mollinedia engleriana";-19,880833;-40,557222
"Myrcia bicolor";-19,931111;-40,683611
"Pseudopiptadenia bahiana";-19,784444;-40,565278
"Xylopia laevigata";-19,784444;-40,565278
"Spirotheca rivieri";-19,887222;-40,795833
"Anaxagorea silvatica";-18,890278;-40,825833
"Hornschuchia myrtillus";-18,944167;-40,798611
"Micropholis crassipedicellata";-18,871389;-40,812778
"Coussarea ilheotica";-18,871389;-40,812778
"Picramnia ramiflora";-19,022778;-40,647778
"Miconia octopetala";-19,915;-40,632778
